StoreID,Revenue,Profit,Transactions,AvgAOV
S015,7135836.95,1195357.54,988,7222.507034412955
S042,7105504.75,1290631.34,958,7417.019572025052
S021,7093805.45,1259418.52,979,7245.970837589377
S009,7037893.41,1280195.06,958,7346.444060542798
S007,7033453.08,1243933.68,1008,6977.632023809524
S025,6989390.75,1288177.09,944,7404.015625
S026,6975707.8,1272854.43,951,7335.12912723449
S040,6941406.48,1189977.76,976,7112.096803278689
S034,6857496.67,1220320.56,986,6954.864776876268
S002,6832263.04,1233431.21,933,7322.8971489817795
