StoreID,StoreCity,Year,WeekNum,YearWeek,TotalSales,WeekendSales,TotalProfit,Transactions,UnitsSold,AvgAOV,AvgDiscount,WeekendRatio
S001,Kolkata,2023,46,2023-46,75187.08,49403.65,15235.71,8,19,9398.385,10.9625,0.6570763221553491
S001,Kolkata,2023,47,2023-47,41462.16,7555.32,10481.43,5,15,8292.432,13.065999999999999,0.18222205500147604
S001,Kolkata,2023,48,2023-48,89480.15,30489.45,29071.79,9,25,9942.238888888889,7.513333333333334,0.3407398177137611
S001,Kolkata,2023,49,2023-49,78906.92,0.0,18815.59,9,27,8767.435555555556,12.245555555555555,0.0
S001,Kolkata,2023,50,2023-50,19267.29,5840.56,4760.47,4,8,4816.8225,4.885,0.3031334453366301
S001,Kolkata,2023,51,2023-51,83254.5,34417.19,15482.619999999999,11,30,7568.590909090909,15.162727272727272,0.4133973538967864
S001,Kolkata,2023,52,2023-52,44504.09,16398.07,8976.83,11,20,4045.826363636363,13.425454545454546,0.36846208966411853
S001,Kolkata,2024,1,2024-01,226919.03,83116.46999999999,20282.44,18,73,12606.612777777778,19.685555555555553,0.36628250173641225
S001,Kolkata,2024,2,2024-02,55753.59,4787.36,13122.380000000001,6,19,9292.265,9.985,0.08586639891709215
S001,Kolkata,2024,3,2024-03,56992.42,13771.09,1721.71,8,22,7124.0525,13.635,0.24163020275327843
S001,Kolkata,2024,4,2024-04,49839.490000000005,19417.65,7529.77,7,16,7119.927142857144,15.807142857142859,0.38960370581641185
S001,Kolkata,2024,5,2024-05,88368.42,21079.260000000002,15194.060000000001,13,30,6797.570769230769,12.915384615384616,0.23853838282952217
S001,Kolkata,2024,6,2024-06,108007.68,37588.899999999994,18845.58,16,38,6750.48,12.25375,0.34802062223723346
S001,Kolkata,2024,7,2024-07,61087.75,0.0,9430.31,9,19,6787.527777777777,14.92111111111111,0.0
S001,Kolkata,2024,8,2024-08,34819.57,16637.34,4846.47,8,15,4352.44625,20.585,0.47781578003404407
S001,Kolkata,2024,9,2024-09,75332.47,15568.8,14727.66,12,29,6277.705833333333,15.611666666666666,0.2066678551758624
S001,Kolkata,2024,10,2024-10,95557.88,6145.71,19374.530000000002,8,29,11944.735,15.435,0.06431400529187127
S001,Kolkata,2024,11,2024-11,57050.94,25226.73,6993.07,10,23,5705.094,16.11,0.442179042098167
S001,Kolkata,2024,12,2024-12,61790.92,20192.36,13780.02,10,31,6179.092,10.849,0.3267852299334595
S001,Kolkata,2024,13,2024-13,49030.85,18779.32,12849.26,9,18,5447.872222222222,10.818888888888889,0.38301028842045365
S001,Kolkata,2024,14,2024-14,75209.08,18772.52,20752.16,8,22,9401.135,14.2475,0.249604436060114
S001,Kolkata,2024,15,2024-15,88009.61,37717.93,11753.73,11,27,8000.873636363636,17.30090909090909,0.42856603954954464
S001,Kolkata,2024,16,2024-16,60810.26,20046.47,8779.25,8,19,7601.2825,19.73875,0.3296560481734497
S001,Kolkata,2024,17,2024-17,155707.14,67974.17,29866.8,17,49,9159.243529411766,10.908235294117647,0.4365514002761851
S001,Kolkata,2024,18,2024-18,59050.99,12317.240000000002,6226.01,10,24,5905.099,15.406,0.20858651142004567
S001,Kolkata,2024,19,2024-19,112746.08,22720.75,19607.68,11,37,10249.643636363637,16.456363636363637,0.20152141874910418
S001,Kolkata,2024,20,2024-20,92193.54,8588.89,17317.32,11,31,8381.23090909091,16.567272727272726,0.09316151652274118
S001,Kolkata,2024,21,2024-21,32263.24,6209.57,6675.08,5,12,6452.648,15.034,0.19246579078852588
S001,Kolkata,2024,22,2024-22,139450.94,64509.22,24530.329999999998,10,40,13945.094000000001,13.907,0.46259437189881975
S001,Kolkata,2024,23,2024-23,33181.1,1058.29,4508.540000000001,6,16,5530.183333333333,15.111666666666665,0.03189436154919517
S001,Kolkata,2024,24,2024-24,37512.5,7560.11,4868.4400000000005,7,13,5358.928571428572,13.574285714285713,0.20153575474841717
S001,Kolkata,2024,25,2024-25,99685.68,41014.52,25424.93,14,39,7120.405714285714,11.579285714285716,0.41143843328349666
S001,Kolkata,2024,26,2024-26,95064.19,16403.649999999998,12631.36,13,35,7312.63,19.058461538461536,0.17255340838648073
S001,Kolkata,2024,27,2024-27,82542.9,37128.689999999995,8704.72,11,26,7503.9,13.07090909090909,0.4498108256433927
S001,Kolkata,2024,28,2024-28,130294.14,30193.42,11029.62,18,46,7238.5633333333335,17.39888888888889,0.2317327548268863
S001,Kolkata,2024,29,2024-29,47918.34,0.0,7609.620000000001,8,15,5989.7925,15.90625,0.0
S001,Kolkata,2024,30,2024-30,30905.58,3718.82,2513.33,6,12,5150.93,20.628333333333334,0.12032843260019711
S001,Kolkata,2024,31,2024-31,93513.73000000001,35672.45,17496.28,12,30,7792.810833333334,17.88416666666667,0.38146751284543984
S001,Kolkata,2024,32,2024-32,96304.51999999999,10484.48,14714.75,14,36,6878.894285714285,14.606428571428571,0.10886799498092095
S001,Kolkata,2024,33,2024-33,78370.02,7761.68,11266.39,8,20,9796.2525,13.116249999999999,0.09903889267860337
S001,Kolkata,2024,34,2024-34,88128.48,18850.9,18185.739999999998,14,30,6294.891428571428,11.804285714285713,0.21390247511360688
S001,Kolkata,2024,35,2024-35,76240.22,17129.18,13874.279999999999,13,32,5864.632307692308,15.016923076923076,0.2246738007838907
S001,Kolkata,2024,36,2024-36,98108.54000000001,21370.23,18033.7,14,34,7007.7528571428575,12.415000000000001,0.2178223220934691
S001,Kolkata,2024,37,2024-37,89965.19,32796.83,17495.19,11,33,8178.653636363637,12.783636363636363,0.36455022214703264
S001,Kolkata,2024,38,2024-38,48965.17,24733.73,5391.63,8,19,6120.64625,15.1375,0.505129053978573
S001,Kolkata,2024,39,2024-39,50871.729999999996,17930.24,8562.4,6,13,8478.621666666666,11.853333333333333,0.35245980429602064
S001,Kolkata,2024,40,2024-40,59936.76,0.0,16433.54,9,23,6659.64,15.142222222222223,0.0
S001,Kolkata,2024,41,2024-41,68375.12000000001,34913.37,12294.39,8,22,8546.890000000001,19.06875,0.5106151184816933
S001,Kolkata,2024,42,2024-42,89016.26999999999,48488.229999999996,15809.51,13,30,6847.405384615384,14.563076923076922,0.5447119947847736
S001,Kolkata,2024,43,2024-43,82206.89,59242.72,8652.83,12,27,6850.574166666666,21.283333333333335,0.7206539500521185
S001,Kolkata,2024,44,2024-44,28934.02,0.0,729.0400000000001,4,11,7233.505,13.1625,0.0
S001,Kolkata,2024,45,2024-45,28225.65,2328.88,4769.92,4,10,7056.4125,22.17,0.08250934876610459
S001,Kolkata,2024,46,2024-46,38869.96,12055.5,8515.06,6,13,6478.326666666667,14.348333333333334,0.31014953449913507
S001,Kolkata,2024,47,2024-47,79369.94,13582.880000000001,20335.13,12,27,6614.161666666667,16.561666666666667,0.17113380708111914
S001,Kolkata,2024,48,2024-48,58851.11,42978.18,11433.84,7,22,8407.301428571429,7.839999999999999,0.7302866504981809
S001,Kolkata,2024,49,2024-49,122121.41,36094.95,13572.83,13,33,9393.954615384615,15.910769230769231,0.29556610916955506
S001,Kolkata,2024,50,2024-50,62964.25,25235.32,7984.84,8,19,7870.53125,18.40375,0.40078806624394003
S001,Kolkata,2024,51,2024-51,44390.4,25689.820000000003,9804.55,7,15,6341.4857142857145,13.452857142857143,0.5787246792099193
S001,Kolkata,2024,52,2024-52,55762.23,16987.34,9899.37,6,19,9293.705,7.378333333333334,0.3046388209366806
S001,Kolkata,2025,1,2025-01,44795.96,31637.25,12192.96,8,16,5599.495,12.157499999999999,0.7062523048953522
S001,Kolkata,2025,2,2025-02,28131.1,0.0,6802.370000000001,4,10,7032.775,18.32,0.0
S001,Kolkata,2025,3,2025-03,82881.41,22190.84,15886.92,16,30,5180.088125,11.766874999999999,0.26774206664679084
S001,Kolkata,2025,4,2025-04,54525.45,5538.95,8642.9,11,23,4956.859090909091,16.592727272727274,0.10158467284543272
S001,Kolkata,2025,5,2025-05,126602.38,15374.89,25462.81,15,39,8440.158666666666,14.608,0.12144234571261614
S001,Kolkata,2025,6,2025-06,125173.78,0.0,14372.710000000001,13,40,9628.752307692308,19.983076923076922,0.0
S001,Kolkata,2025,7,2025-07,62710.12,13280.93,11412.36,8,19,7838.765,15.83875,0.21178288289035327
S001,Kolkata,2025,8,2025-08,64618.95,60924.2,8680.67,8,28,8077.36875,15.151250000000001,0.9428225002108515
S001,Kolkata,2025,9,2025-09,58434.17,32395.469999999998,9280.65,9,20,6492.685555555556,17.317777777777778,0.5543925754400207
S001,Kolkata,2025,10,2025-10,101679.82,33887.17,17240.67,12,31,8473.318333333335,12.11,0.33327330831230817
S001,Kolkata,2025,11,2025-11,34786.96,18279.809999999998,4927.2,6,15,5797.826666666667,19.581666666666667,0.5254788001021071
S001,Kolkata,2025,12,2025-12,89816.0,32434.16,23475.11,14,32,6415.428571428572,8.787857142857144,0.3611178409192126
S001,Kolkata,2025,13,2025-13,49137.909999999996,18035.41,5416.2,10,22,4913.790999999999,17.116,0.36703657115249716
S001,Kolkata,2025,14,2025-14,16023.259999999998,15189.45,2623.73,4,8,4005.8149999999996,14.7225,0.9479625244800373
S001,Kolkata,2025,15,2025-15,70535.48,32080.22,13636.05,9,31,7837.275555555555,9.797777777777776,0.4548096929375118
S001,Kolkata,2025,16,2025-16,41406.53,10917.04,8315.800000000001,6,12,6901.088333333333,13.043333333333335,0.26365503218936726
